target,feature,rho,abs_rho,n,group,short
k,cs_NDVI_ratio_summer,-0.09992122920150215,0.09992122920150215,1085,Other,cs_NDVI_ratio_summer
k,cs_SAVI_diff_autumn,0.3683994879888403,0.3683994879888403,877,Other,cs_SAVI_diff_autumn
k,cs_SAVI_diff_late_summer,-0.241776338869255,0.241776338869255,1085,Other,cs_SAVI_diff_late_summer
k,cs_SAVI_diff_spring,-0.2002153115283351,0.2002153115283351,1085,Other,cs_SAVI_diff_spring
k,cs_SAVI_diff_summer,-0.12067921838923493,0.12067921838923493,1085,Other,cs_SAVI_diff_summer
k,cs_SAVI_ratio_autumn,0.23534764456801757,0.23534764456801757,877,Other,cs_SAVI_ratio_autumn
k,cs_SAVI_ratio_late_summer,-0.06202897945953506,0.06202897945953506,1085,Other,cs_SAVI_ratio_late_summer
k,cs_SAVI_ratio_spring,-0.08502625316972667,0.08502625316972667,1085,Other,cs_SAVI_ratio_spring
k,cs_SAVI_ratio_summer,-0.10552302506919274,0.10552302506919274,1085,Other,cs_SAVI_ratio_summer
k,glcm_delta_nir_asm_spr2sum,0.04880435814545512,0.04880435814545512,1085,Texture (GLCM),delta_nir_asm_spr2sum
k,glcm_delta_nir_contrast_spr2sum,-0.09739073546299895,0.09739073546299895,1085,Texture (GLCM),delta_nir_contrast_spr2sum
k,glcm_delta_nir_ent_spr2sum,-0.051949901794453655,0.051949901794453655,1085,Texture (GLCM),delta_nir_ent_spr2sum
k,glcm_delta_nir_idm_spr2sum,0.062411902712872065,0.062411902712872065,1085,Texture (GLCM),delta_nir_idm_spr2sum
k,glcm_delta_red_asm_spr2aut,0.13486753272328228,0.13486753272328228,1003,Texture (GLCM),delta_red_asm_spr2aut
k,glcm_delta_red_contrast_spr2aut,-0.22203991695427056,0.22203991695427056,1003,Texture (GLCM),delta_red_contrast_spr2aut
k,glcm_delta_red_ent_spr2aut,-0.14462168039542597,0.14462168039542597,1003,Texture (GLCM),delta_red_ent_spr2aut
k,glcm_delta_red_idm_spr2aut,0.22113773101953169,0.22113773101953169,1003,Texture (GLCM),delta_red_idm_spr2aut
k,glcm_ratio_asm_autumn,-0.04686280311816255,0.04686280311816255,1003,Texture (GLCM),ratio_asm_autumn
k,glcm_ratio_asm_late_summer,0.002891071032492678,0.002891071032492678,1085,Texture (GLCM),ratio_asm_late_summer
k,glcm_ratio_asm_spring,0.014683517437596686,0.014683517437596686,1085,Texture (GLCM),ratio_asm_spring
k,glcm_ratio_asm_summer,0.00549830163633433,0.00549830163633433,1085,Texture (GLCM),ratio_asm_summer
k,glcm_ratio_contrast_autumn,0.04719352097178892,0.04719352097178892,1003,Texture (GLCM),ratio_contrast_autumn
k,glcm_ratio_contrast_late_summer,0.11327477329977251,0.11327477329977251,1085,Texture (GLCM),ratio_contrast_late_summer
k,glcm_ratio_contrast_spring,0.029295425859035582,0.029295425859035582,1085,Texture (GLCM),ratio_contrast_spring
k,glcm_ratio_contrast_summer,0.0765272671458074,0.0765272671458074,1085,Texture (GLCM),ratio_contrast_summer
k,glcm_ratio_ent_autumn,0.05570916969190154,0.05570916969190154,1003,Texture (GLCM),ratio_ent_autumn
k,glcm_ratio_ent_late_summer,-0.006315064162723652,0.006315064162723652,1085,Texture (GLCM),ratio_ent_late_summer
k,glcm_ratio_ent_spring,-0.0048710707182345525,0.0048710707182345525,1085,Texture (GLCM),ratio_ent_spring
k,glcm_ratio_ent_summer,0.0035304417669349297,0.0035304417669349297,1085,Texture (GLCM),ratio_ent_summer
k,glcm_ratio_idm_autumn,-0.14861677109793087,0.14861677109793087,1003,Texture (GLCM),ratio_idm_autumn
k,glcm_ratio_idm_late_summer,-0.03348735682602402,0.03348735682602402,1085,Texture (GLCM),ratio_idm_late_summer
k,glcm_ratio_idm_spring,0.03924596669078407,0.03924596669078407,1085,Texture (GLCM),ratio_idm_spring
k,glcm_ratio_idm_summer,-0.12131854349757233,0.12131854349757233,1085,Texture (GLCM),ratio_idm_summer
k,s2_CIre_autumn,0.20232410758437272,0.20232410758437272,1003,Spectral,CIre_autumn
k,s2_CIre_late_summer,-0.1967789995575614,0.1967789995575614,1085,Spectral,CIre_late_summer
k,s2_CIre_spring,-0.3660699627433865,0.3660699627433865,1085,Spectral,CIre_spring
k,s2_CIre_summer,-0.052645767136313054,0.052645767136313054,1085,Spectral,CIre_summer
k,s2_IRECI_autumn,0.2629618950947555,0.2629618950947555,1003,Spectral,IRECI_autumn
k,s2_IRECI_late_summer,-0.1507292179431177,0.1507292179431177,1085,Spectral,IRECI_late_summer
k,s2_IRECI_spring,-0.21347531482036589,0.21347531482036589,1085,Spectral,IRECI_spring
k,s2_IRECI_summer,-0.02968489810161476,0.02968489810161476,1085,Spectral,IRECI_summer
k,s2_MSI_autumn,-0.20710625444408814,0.20710625444408814,1003,Spectral,MSI_autumn
k,s2_MSI_late_summer,-0.08170465186633197,0.08170465186633197,1085,Spectral,MSI_late_summer
k,s2_MSI_spring,-0.39851984269365537,0.39851984269365537,1085,Spectral,MSI_spring
k,s2_MSI_summer,-0.015276069420471274,0.015276069420471274,1085,Spectral,MSI_summer
k,s2_NBR_autumn,0.18121269979705631,0.18121269979705631,1003,Spectral,NBR_autumn
k,s2_NBR_late_summer,0.10489394156526564,0.10489394156526564,1085,Spectral,NBR_late_summer
k,s2_NBR_spring,0.3557106738420426,0.3557106738420426,1085,Spectral,NBR_spring
k,s2_NBR_summer,0.014370542463188564,0.014370542463188564,1085,Spectral,NBR_summer
k,s2_NDMI_autumn,0.20710625444408814,0.20710625444408814,1003,Spectral,NDMI_autumn
k,s2_NDMI_late_summer,0.08170465186633197,0.08170465186633197,1085,Spectral,NDMI_late_summer
k,s2_NDMI_spring,0.39851984269365537,0.39851984269365537,1085,Spectral,NDMI_spring
k,s2_NDMI_summer,0.015276069420471274,0.015276069420471274,1085,Spectral,NDMI_summer
k,s2_NDWI_autumn,-0.04288761138955143,0.04288761138955143,1003,Spectral,NDWI_autumn
k,s2_NDWI_late_summer,0.31800165955733006,0.31800165955733006,1085,Spectral,NDWI_late_summer
k,s2_NDWI_spring,0.3764855334891503,0.3764855334891503,1085,Spectral,NDWI_spring
k,s2_NDWI_summer,0.08153559962179059,0.08153559962179059,1085,Spectral,NDWI_summer
k,s2_PSRI_autumn,-0.37610085343430455,0.37610085343430455,1003,Spectral,PSRI_autumn
k,s2_PSRI_late_summer,-0.000655981809455161,0.000655981809455161,1085,Spectral,PSRI_late_summer
k,s2_PSRI_spring,-0.19095434074032225,0.19095434074032225,1085,Spectral,PSRI_spring
k,s2_PSRI_summer,-0.06326587869529504,0.06326587869529504,1085,Spectral,PSRI_summer
k,s2_RENDVI_autumn,0.12348553270033963,0.12348553270033963,1003,Spectral,RENDVI_autumn
k,s2_RENDVI_late_summer,-0.25973426871322836,0.25973426871322836,1085,Spectral,RENDVI_late_summer
k,s2_RENDVI_spring,-0.347721578778246,0.347721578778246,1085,Spectral,RENDVI_spring
k,s2_RENDVI_summer,-0.07290753649641585,0.07290753649641585,1085,Spectral,RENDVI_summer
k,s2_S2REP_autumn,0.03759410371983667,0.03759410371983667,1003,Spectral,S2REP_autumn
k,s2_S2REP_late_summer,-0.10789065850563749,0.10789065850563749,1085,Spectral,S2REP_late_summer
k,s2_S2REP_spring,-0.2530060232059641,0.2530060232059641,1085,Spectral,S2REP_spring
k,s2_S2REP_summer,-0.15884873842968433,0.15884873842968433,1085,Spectral,S2REP_summer
k,ts_l8_GNDVI_cv,0.1489525344771145,0.1489525344771145,1085,Temporal,ts_l8_GNDVI_cv
k,ts_l8_GNDVI_mean,-0.17962040344789346,0.17962040344789346,1085,Temporal,ts_l8_GNDVI_mean
